296215,1,Runner,1/15/2015 11:37:57 AM,Failed,1/15/2015 11:33:01 AM,basic.step,Sample_ATOM_OATS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,768,Passed,"",basic.init,
"Iteration Total (sec)",,294590,Failed,"Function CommonUtility.copyFileUsingStream failed, caused by: null Caused by: NullPointerException occured. Caused by: NullPointerException occured.",basic.iteration,
"Call Function: Scenario_Login.PDF_Test",,139752,Failed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 9.10.9200.17183",,2449,Passed,"",basic.step,
"Call Function: ApplicationUtility.ClickOnPDFlink",,36893,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,86,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=KFi3VJ2nJIPV8geA-oDICw&gws_rd=ssl",,1891,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.908 (sec).",,1946,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,699,Passed,"",ft.action,
"Think: 1.47 (sec).",,1496,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,229,Passed,"",ft.action,
"Think: 2.947 (sec).",,2971,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",,46,Passed,"",ft.action,
"Think: 4.855 (sec).",,4879,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,236,Passed,"",ft.action,
"Think: 1.216 (sec).",,1233,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",,49,Passed,"",ft.action,
"Think: 1.536 (sec).",,1552,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",,424,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=KFi3VJ2nJIPV8geA-oDICw&gws_rd=ssl#q=oracle+application+testing+suite+pdf",,480,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1892,Passed,"",basic.comment,
"mouseClick",,376,Passed,"",ft.action,
"Call Function: ApplicationUtility.SavePDFinCdrive",,91757,Failed,"",basic.stepGroup,
"clickButton",,17339,Failed,"Failed to playback: No browser launched.",ft.action,
"Close Browser",,2183,Passed,"",basic.step,
"Call Function: Scenario_Login.PDF_Test",,120061,Failed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 9.10.9200.17183",,1000,Passed,"",basic.step,
"Call Function: ApplicationUtility.ClickOnPDFlink",,35424,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,23,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=yFi3VPG9L4TV8gfwvoHQDg&gws_rd=ssl",,1309,Passed,"",web.pageComplete,
"Think: 1.908 (sec).",,1932,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,368,Passed,"",ft.action,
"Think: 1.47 (sec).",,1490,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,271,Passed,"",ft.action,
"Think: 2.947 (sec).",,2969,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",,50,Passed,"",ft.action,
"Think: 4.855 (sec).",,4881,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,252,Passed,"",ft.action,
"Think: 1.216 (sec).",,1230,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",,46,Passed,"",ft.action,
"Think: 1.536 (sec).",,1555,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",,393,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=yFi3VPG9L4TV8gfwvoHQDg&gws_rd=ssl#q=oracle+application+testing+suite+pdf",,478,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1895,Passed,"",basic.comment,
"mouseClick",,162,Passed,"",ft.action,
"Call Function: ApplicationUtility.SavePDFinCdrive",,74855,Passed,"",basic.stepGroup,
"ClickButton dialog(""@text='Save As'"") 0",,759,Passed,"",ft.action,
"Call Function: ApplicationUtility.CopyPDFToProjectFolder",,239,Failed,"",basic.stepGroup,
"Call Function: CommonUtility.createPDFFolder",,23,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.createPDFFile",,18,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.copyFileUsingStream",,18,Failed,"",basic.stepGroup,
"Unexpected Failure",,0,Failed,"basic Caused by: NullPointerException occured.",basic.step,
"Close Browser",,2148,Passed,"",basic.step,
"Finish Total (sec)",,40,Passed,"",basic.finish,
