158282,1,Runner,1/15/2015 11:47:30 AM,Passed,1/15/2015 11:44:52 AM,basic.step,Sample_ATOM_OATS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,301,Passed,"",basic.init,
"Iteration Total (sec)",,157716,Passed,"",basic.iteration,
"Call Function: Scenario_Login.PDF_Test",,132049,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 9.10.9200.17183",,924,Passed,"",basic.step,
"Call Function: ApplicationUtility.ClickOnPDFlink",,40411,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,81,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=8Vq3VN7KLabV8geKz4GgAg&gws_rd=ssl",,5925,Passed,"",web.pageComplete,
"Think: 1.908 (sec).",,1944,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,385,Passed,"",ft.action,
"Think: 1.47 (sec).",,1487,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,241,Passed,"",ft.action,
"Think: 2.947 (sec).",,2964,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",,70,Passed,"",ft.action,
"Think: 4.855 (sec).",,4876,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,234,Passed,"",ft.action,
"Think: 1.216 (sec).",,1239,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",,55,Passed,"",ft.action,
"Think: 1.536 (sec).",,1554,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",,407,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=8Vq3VN7KLabV8geKz4GgAg&gws_rd=ssl#q=oracle+application+testing+suite+pdf",,479,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1900,Passed,"",basic.comment,
"mouseClick",,263,Passed,"",ft.action,
"Call Function: ApplicationUtility.SavePDFinCdrive",,78824,Passed,"",basic.stepGroup,
"ClickButton dialog(""@text='Save As'"") 0",,737,Passed,"",ft.action,
"Call Function: ApplicationUtility.CopyPDFToProjectFolder",,332,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.createPDFFolder",,20,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.createPDFFile",,22,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.copyFileUsingStream",,97,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.deleteFile",,18,Passed,"",basic.stepGroup,
"Close Browser",,2148,Passed,"",basic.step,
"Finish Total (sec)",,29,Passed,"",basic.finish,
