166665,1,Runner,1/15/2015 12:00:35 PM,Passed,1/15/2015 11:57:48 AM,basic.step,Sample_ATOM_OATS,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,341,Passed,"",basic.init,
"Iteration Total (sec)",,166013,Passed,"",basic.iteration,
"Call Function: Scenario_Login.PDF_Test",,131671,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 9.10.9200.17183",,1541,Passed,"",basic.step,
"Call Function: ApplicationUtility.ClickOnPDFlink",,37506,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,85,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=-123VM2wMa7V8geWnYGgAg&gws_rd=ssl",,1682,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.908 (sec).",,1943,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,393,Passed,"",ft.action,
"Think: 1.47 (sec).",,1517,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,339,Passed,"",ft.action,
"Think: 2.947 (sec).",,2996,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",,123,Passed,"",ft.action,
"Think: 4.855 (sec).",,4886,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",,480,Passed,"",ft.action,
"Think: 1.216 (sec).",,1245,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",,119,Passed,"",ft.action,
"Think: 1.536 (sec).",,1555,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",,665,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=-123VM2wMa7V8geWnYGgAg&gws_rd=ssl#q=oracle+application+testing+suite+pdf",,480,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1899,Passed,"",basic.comment,
"mouseClick",,267,Passed,"",ft.action,
"Call Function: ApplicationUtility.SavePDFinCdrive",,79018,Passed,"",basic.stepGroup,
"ClickButton dialog(""@text='Save As'"") 0",,903,Passed,"",ft.action,
"Call Function: ApplicationUtility.CopyPDFToProjectFolder",,318,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.createPDFFolder",,20,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.createPDFFile",,28,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.copyFileUsingStream",,84,Passed,"",basic.stepGroup,
"Call Function: CommonUtility.deleteFile",,22,Passed,"",basic.stepGroup,
"Close Browser",,2223,Passed,"",basic.step,
"Finish Total (sec)",,54,Passed,"",basic.finish,
