147978,1,PDFGeneration,1/14/2015 14:57:10 PM,Failed,1/14/2015 14:54:42 PM,basic.step,testScripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,14041,Passed,"",basic.init,
"Launch Browser: InternetExplorer 9.10.9200.17183",,13466,Passed,"",basic.step,
"Iteration Total (sec)",,132552,Failed,"",basic.iteration,
"Think: 0 (sec).",,27,Passed,"",basic.comment,
"[1] Google (/)",,41548,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,79,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=-DW2VO6_MYqDuASO8oCoDg&gws_rd=ssl",16,24503,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.908 (sec).",,1937,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",19,821,Passed,"",ft.action,
"Think: 1.47 (sec).",,1492,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",20,254,Passed,"",ft.action,
"Think: 2.947 (sec).",,2967,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",21,51,Passed,"",ft.action,
"Think: 4.855 (sec).",,4878,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",22,251,Passed,"",ft.action,
"Think: 1.216 (sec).",,1239,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",23,117,Passed,"",ft.action,
"Think: 1.536 (sec).",,1571,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",24,520,Passed,"",ft.action,
"Think: 0 (sec).",,21,Passed,"",basic.comment,
"[2] Google (/)",,3042,Passed,"",basic.stepGroup,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=-DW2VO6_MYqDuASO8oCoDg&gws_rd=ssl#q=oracle+application+testing+suite+pdf",25,488,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1898,Passed,"",basic.comment,
"mouseClick",27,451,Passed,"",ft.action,
"Find Object",,60007,Failed,"Find Object timeout. Detail information:/web:dialog_unknown[@text='Save As' and @winClass='##32770' and @index='1'].",ft.action,
"clickButton",,60295,Failed,"Find Object timeout. Detail information:/web:dialog_unknown[@text='Save As' and @winClass='##32770' and @index='1'].",ft.action,
"Finish Total (sec)",,63,Passed,"",basic.finish,
