160043,1,PDFGeneration,1/14/2015 15:20:30 PM,Passed,1/14/2015 15:17:50 PM,basic.step,testScripts,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,2593,Passed,"",basic.init,
"Launch Browser: InternetExplorer 9.10.9200.17183",,2108,Passed,"",basic.step,
"Iteration Total (sec)",,157166,Passed,"",basic.iteration,
"Think: 0 (sec).",,24,Passed,"",basic.comment,
"[1] Google (/)",,61603,Passed,"",basic.stepGroup,
"Navigate http://www.google.com/",15,82,Passed,"",ft.action,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=STu2VJ_JONaDuASf-ICYAQ&gws_rd=ssl",16,44472,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.908 (sec).",,1981,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",19,373,Passed,"",ft.action,
"Think: 1.47 (sec).",,1506,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",20,288,Passed,"",ft.action,
"Think: 2.947 (sec).",,2994,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") O",21,79,Passed,"",ft.action,
"Think: 4.855 (sec).",,4888,Passed,"",basic.comment,
"Click textBox(""@id='gbqfq'"")",22,312,Passed,"",ft.action,
"Think: 1.216 (sec).",,1263,Passed,"",basic.comment,
"SetText textBox(""@id='gbqfq'"") Oracle application testing suite PDF",23,109,Passed,"",ft.action,
"Think: 1.536 (sec).",,1591,Passed,"",basic.comment,
"Click element(""@text='Remove
oracle application testing suite pdf'"")",24,499,Passed,"",ft.action,
"Think: 0 (sec).",,16,Passed,"",basic.comment,
"[2] Google (/)",,9248,Passed,"",basic.stepGroup,
"WaitForPage https://www.google.co.in/?gfe_rd=cr&ei=STu2VJ_JONaDuASf-ICYAQ&gws_rd=ssl#q=oracle+application+testing+suite+pdf",25,474,Passed,"",web.pageComplete,
"Frame (URL=https://clients5.google.com/pagead/drt/dn/)",,0,Passed,"",web.frame,
"Think: 1.876 (sec).",,1898,Passed,"",basic.comment,
"mouseClick",27,6682,Passed,"",ft.action,
"ClickButton dialog(""@text='Save As'"") 0",,764,Passed,"",ft.action,
"Finish Total (sec)",,76,Passed,"",basic.finish,
